time,question 1,answer 1,question 2,answer 2,question 3,answer 3,question 4,answer 4,question 5,answer 5,question 6,answer 6
1540080,Haydn,Bach,Vivaldi,Sor,Scarlatti,Scarlatti,Vivaldi,Haendel,Haydn,Sor,Haydn,Vivaldi
1540508,Scarlatti,Scarlatti,Stravinsky,Vivaldi,Haydn,Haydn,Haendel,Bach,Vivaldi,Bach,Liszt,Haydn
1540556,Scarlatti,Liszt,Stravinsky,Stravinsky,Haydn,Haendel,Haendel,Vivaldi,Vivaldi,Vivaldi,Liszt,Stravinsky
1540561,Scarlatti,Vivaldi,Haendel,Scarlatti,Vivaldi,Sor,Vivaldi,Haendel,Liszt,Stravinsky,Sor,Stravinsky
1540581,Scarlatti,Vivaldi,Haendel,Stravinsky,Vivaldi,Bach,Vivaldi,Vivaldi,Liszt,Haydn,Sor,Liszt
1541436,Scarlatti,Bach,Haendel,Vivaldi,Haendel,Vivaldi,Sor,Bach,Liszt,Liszt,Liszt,Haendel
1541464,Haydn,Bach,Liszt,Vivaldi,Scarlatti,Vivaldi,Scarlatti,Bach,Bach,Liszt,Sor,Haendel
1541723,Liszt,Stravinsky,Haydn,Haendel,Vivaldi,Scarlatti,Stravinsky,Sor,Sor,Liszt,Scarlatti,Haydn
1542660,Liszt,Scarlatti,Sor,Haydn,Haendel,Haydn,Sor,Stravinsky,Bach,Haendel,Stravinsky,Bach
1542956,Sor,Stravinsky,Liszt,Vivaldi,Haydn,Bach,Stravinsky,Vivaldi,Bach,Scarlatti,Vivaldi,Haendel
1542972,Scarlatti,Scarlatti,Bach,Vivaldi,Haydn,Bach,Liszt,Haydn,Haendel,Haendel,Haendel,Stravinsky
1543299,Haendel,Vivaldi,Haydn,Scarlatti,Bach,Bach,Haendel,Scarlatti,Vivaldi,Vivaldi,Stravinsky,Liszt
1547863,Haendel,Vivaldi,Haydn,Haendel,Haydn,Bach,Haydn,Vivaldi,Scarlatti,Bach,Haydn,Stravinsky
1549795,Scarlatti,Scarlatti,Sor,Sor,Haydn,Bach,Liszt,Scarlatti,Liszt,Liszt,Scarlatti,Bach
1550811,Vivaldi,Vivaldi,Vivaldi,Stravinsky,Haendel,Bach,Scarlatti,Vivaldi,Liszt,Bach,Haendel,Haydn
1619146,Scarlatti,Sor,Scarlatti,Liszt,Scarlatti,Haydn,Haendel,Stravinsky,Haendel,Bach,Sor,Haendel
1619380,Haendel,Liszt,Haendel,Bach,Sor,Scarlatti,Scarlatti,Haendel,Vivaldi,Sor,Scarlatti,Vivaldi
1620023,Sor,Bach,Haendel,Stravinsky,Haydn,Haydn,Liszt,Bach,Scarlatti,Vivaldi,Stravinsky,Liszt
1620082,Stravinsky,Vivaldi,Liszt,Scarlatti,Sor,Bach,Bach,Bach,Sor,Bach,Sor,Liszt
1620961,Scarlatti,Scarlatti,Haydn,Bach,Haydn,Sor,Sor,Stravinsky,Bach,Scarlatti,Haydn,Vivaldi
1626830,Vivaldi,Haendel,Liszt,Liszt,Haydn,Bach,Bach,Vivaldi,Liszt,Vivaldi,Vivaldi,Haendel
1626928,Vivaldi,Haendel,Sor,Haydn,Liszt,Bach,Haendel,Vivaldi,Haendel,Sor,Haydn,Stravinsky
1626957,Vivaldi,Vivaldi,Sor,Scarlatti,Liszt,Stravinsky,Haendel,Liszt,Haendel,Haendel,Haydn,Sor
1634328,Scarlatti,Bach,Haydn,Haydn,Bach,Stravinsky,Liszt,Sor,Haydn,Scarlatti,Stravinsky,Scarlatti
1636178,Haendel,Haendel,Haendel,Sor,Stravinsky,Haydn,Haendel,Liszt,Scarlatti,Bach,Liszt,Sor
1639707,Bach,Haendel,Stravinsky,Liszt,Haendel,Scarlatti,Scarlatti,Liszt,Haydn,Bach,Liszt,Stravinsky
1641233,Scarlatti,Haendel,Stravinsky,Scarlatti,Scarlatti,Haydn,Haendel,Bach,Stravinsky,Stravinsky,Haendel,Vivaldi
1645903,Sor,Haydn,Sor,Vivaldi,Sor,Sor,Scarlatti,Vivaldi,Scarlatti,Bach,Stravinsky,Stravinsky
1675961,Sor,Scarlatti,Sor,Haendel,Haydn,Sor,Bach,Bach,Haydn,Vivaldi,Liszt,Liszt
