Timestamp,Por favor elegí el autor la obra,Por favor elegí el autor la obra,Por favor elegí el autor la obra,Por favor elegí el autor la obra,Por favor elegí el autor la obra,Por favor elegí el autor la obra
17/08/2020 19:48:00,Johan Sebastian Bach,Fernando Sor,Domenico Scarlatti,Friederich Haendel,Fernando Sor,Antonio Vivaldi
17/08/2020 19:55:08,Domenico Scarlatti,Antonio Vivaldi,Joseph Haydn,Johan Sebastian Bach,Johan Sebastian Bach,Joseph Haydn
17/08/2020 19:55:56,Franz Liszt,Igor Stravinsky,Friederich Haendel,Antonio Vivaldi,Antonio Vivaldi,Igor Stravinsky
17/08/2020 19:56:01,Antonio Vivaldi,Domenico Scarlatti,Fernando Sor,Friederich Haendel,Igor Stravinsky,Igor Stravinsky
17/08/2020 19:56:21,Antonio Vivaldi,Igor Stravinsky,Johan Sebastian Bach,Antonio Vivaldi,Joseph Haydn,Franz Liszt
17/08/2020 20:10:36,Johan Sebastian Bach,Antonio Vivaldi,Antonio Vivaldi,Johan Sebastian Bach,Franz Liszt,Friederich Haendel
17/08/2020 20:11:04,Johan Sebastian Bach,Antonio Vivaldi,Antonio Vivaldi,Johan Sebastian Bach,Franz Liszt,Friederich Haendel
17/08/2020 20:15:23,Igor Stravinsky,Friederich Haendel,Domenico Scarlatti,Fernando Sor,Franz Liszt,Joseph Haydn
17/08/2020 20:31:00,Domenico Scarlatti,Joseph Haydn,Joseph Haydn,Igor Stravinsky,Friederich Haendel,Johan Sebastian Bach
17/08/2020 20:35:56,Igor Stravinsky,Antonio Vivaldi,Johan Sebastian Bach,Antonio Vivaldi,Domenico Scarlatti,Friederich Haendel
17/08/2020 20:36:12,Domenico Scarlatti,Antonio Vivaldi,Johan Sebastian Bach,Joseph Haydn,Friederich Haendel,Igor Stravinsky
17/08/2020 20:41:39,Antonio Vivaldi,Domenico Scarlatti,Johan Sebastian Bach,Domenico Scarlatti,Antonio Vivaldi,Franz Liszt
17/08/2020 21:57:43,Antonio Vivaldi,Friederich Haendel,Johan Sebastian Bach,Antonio Vivaldi,Johan Sebastian Bach,Igor Stravinsky
17/08/2020 22:29:55,Domenico Scarlatti,Fernando Sor,Johan Sebastian Bach,Domenico Scarlatti,Franz Liszt,Johan Sebastian Bach
17/08/2020 22:46:51,Antonio Vivaldi,Igor Stravinsky,Johan Sebastian Bach,Antonio Vivaldi,Johan Sebastian Bach,Joseph Haydn
18/08/2020 17:45:46,Fernando Sor,Franz Liszt,Joseph Haydn,Igor Stravinsky,Johan Sebastian Bach,Friederich Haendel
